"timestamp","emoji","count"
"2022-05-13T19:27:22.756000+00:00","🤣","4"
"2022-05-10T20:25:19.458000+00:00","🤣","1"
"2022-05-09T21:09:09.122000+00:00","😂","2"
"2022-05-04T15:25:15.279000+00:00","😂","1"
"2022-04-28T16:44:33.617000+00:00","🤣","2"
"2022-04-28T15:32:58.176000+00:00","🤣","1"
"2022-04-27T14:57:22.540000+00:00","😂","1"
"2022-04-27T14:56:07.038000+00:00","🤣","2"
"2022-04-27T14:55:52.521000+00:00","🤣","1"
"2022-04-27T14:45:58.271000+00:00","😂","3"
"2022-04-27T14:38:48.867000+00:00","😂","1"
"2022-04-26T15:48:14.870000+00:00","🤣","2"
"2022-04-25T17:47:37.411000+00:00","🤣","1"
"2022-04-25T14:45:39.346000+00:00","🤣","1"
"2022-04-22T09:05:57.779000+00:00","🤣","5"
"2022-04-19T20:37:50.214000+00:00","🤣","2"
"2022-04-18T19:35:16.232000+00:00","😂","1"
"2022-04-18T19:26:46.718000+00:00","🤣","1"
"2022-04-15T20:04:50.717000+00:00","🤣","7"
"2022-04-08T16:53:24.640000+00:00","🤣","3"
"2022-04-08T16:50:28.189000+00:00","😂","3"
"2022-04-08T16:37:58.351000+00:00","😂","2"
"2022-04-08T16:34:55.456000+00:00","😂","3"
"2022-04-08T16:21:25.972000+00:00","🤣","1"
"2022-04-08T16:15:09.397000+00:00","😂","1"
"2022-04-05T20:59:13.149000+00:00","😂","2"
"2022-03-31T22:25:54.964000+00:00","🤣","1"
"2022-03-25T14:12:00.761000+00:00","😂","2"
"2022-02-25T22:02:47.362000+00:00","🤣","1"
"2022-02-23T21:48:23.557000+00:00","🤣","1"
"2022-02-23T20:25:09.964000+00:00","🤣","1"
"2022-02-18T16:53:10.777000+00:00","😂","1"
"2022-02-18T14:49:52.918000+00:00","🤣","1"
"2022-02-15T15:55:17.790000+00:00","🤣","2"
"2022-02-09T19:33:32.884000+00:00","😂","3"
"2022-02-09T17:59:49.168000+00:00","🤣","5"
"2022-02-08T21:24:06.912000+00:00","😂","2"
"2022-02-08T21:22:58.909000+00:00","🤣","1"
"2022-02-08T19:42:58.527000+00:00","🤣","1"
"2022-02-07T21:57:11.022000+00:00","🤣","4"
"2022-02-04T16:36:17.163000+00:00","🤣","1"
"2022-02-04T14:18:50.064000+00:00","🤣","1"
"2022-02-03T21:54:54.895000+00:00","🤣","2"
"2022-02-03T21:53:06.416000+00:00","🤣","1"
"2022-02-03T01:38:31.560000+00:00","🤣","1"
"2022-02-02T23:44:26.264000+00:00","🤣","1"
"2022-02-02T23:42:35.655000+00:00","🤣","2"
"2022-02-02T23:17:06.834000+00:00","🤣","1"
"2022-02-02T22:00:37.715000+00:00","🤣","1"
"2022-02-02T21:56:40.785000+00:00","🤣","4"
"2022-02-02T00:23:32.589000+00:00","🤣","1"
"2022-02-01T23:23:07.511000+00:00","🤣","1"
"2022-02-01T18:16:33.852000+00:00","🤣","1"
"2022-02-01T18:10:45.167000+00:00","🤣","1"
"2022-02-01T18:09:44.142000+00:00","🤣","4"
"2022-02-01T18:09:24.496000+00:00","🤣","1"
"2022-02-01T18:07:49.122000+00:00","🤣","2"
"2022-02-01T18:07:29.157000+00:00","🤣","3"
"2022-02-01T18:06:18.375000+00:00","🤣","2"
"2022-02-01T14:13:25.893000+00:00","🤣","1"
"2022-01-31T22:08:12.388000+00:00","🤣","1"
"2022-01-28T15:40:25.236000+00:00","😂","4"
"2022-01-27T21:01:22.889000+00:00","🤣","1"
"2022-01-27T19:26:22.641000+00:00","😂","1"
"2022-01-25T18:43:02.199000+00:00","😂","1"
"2022-01-17T15:45:51.971000+00:00","🤣","1"
"2022-01-15T05:17:37.049000+00:00","🤣","3"
"2022-01-14T20:29:16.115000+00:00","😂","4"
"2022-01-14T14:29:56.069000+00:00","😂","1"
"2022-01-13T21:47:48.593000+00:00","😂","5"
"2022-01-13T21:28:15.249000+00:00","🤣","1"
"2022-01-13T18:09:25.699000+00:00","😂","1"
"2022-01-13T18:00:02.445000+00:00","🤣","1"
"2022-01-13T17:59:35.939000+00:00","🤣","1"
"2022-01-13T17:58:32.593000+00:00","🤣","2"
"2022-01-13T17:57:56.820000+00:00","🤣","2"
"2022-01-13T17:53:50.562000+00:00","🤣","2"
"2022-01-13T17:53:47.322000+00:00","🤣","3"
"2022-01-13T17:45:15.800000+00:00","🤣","1"
"2022-01-13T17:43:20.646000+00:00","🤣","4"
"2022-01-13T17:43:10.983000+00:00","🤣","1"
"2022-01-13T17:37:29.590000+00:00","🤣","1"
"2022-01-13T17:25:36.573000+00:00","🤣","3"
"2022-01-13T17:13:43.592000+00:00","🤣","3"
"2022-01-12T19:49:06.834000+00:00","🤣","4"
"2022-01-07T16:08:10.743000+00:00","🤣","1"
"2022-01-07T15:44:29.781000+00:00","😂","1"
"2022-01-04T20:07:33.615000+00:00","🤣","2"
"2021-12-30T19:51:07.869000+00:00","🤣","3"
"2021-12-30T19:13:35.761000+00:00","🤣","1"
"2021-12-30T19:04:08.584000+00:00","🤣","1"
